Host,Managed Object,Attribute,From,To,Interval,Total,Loss,data
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,ProcessMonitorInfo,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,javax.management.openmbean.TabularDataSupport(tabularType=javax.management.openmbean.TabularType(name=ProcessMonitor Type,rowType=javax.management.openmbean.CompositeType(name=ProcessMonitor Type,items=((itemName=Alias,itemType=javax.management.openmbean.SimpleType(name=java.lang.String)),(itemName=Avg.PCPU,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Avg.PMEM,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Avg.RSS,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Avg.VSZ,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=INDEX,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Max.PCPU,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Max.PMEM,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Max.RSS,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Max.VSZ,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Min.PCPU,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Min.PMEM,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Min.RSS,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Min.VSZ,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Pattern,itemType=javax.management.openmbean.SimpleType(name=java.lang.String)),(itemName=RunningProcessCount,itemType=javax.management.openmbean.SimpleType(name=java.lang.Integer)),(itemName=TotalPCPU,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=TotalPMEM,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=TotalRSS,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=TotalVSZ,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)))),indexNames=(INDEX,Alias,Pattern,RunningProcessCount,Min.PCPU,Avg.PCPU,Max.PCPU,Min.PMEM,Avg.PMEM,Max.PMEM,Min.VSZ,Avg.VSZ,Max.VSZ,Min.RSS,Avg.RSS,Max.RSS,TotalPCPU,TotalPMEM,TotalVSZ,TotalRSS)),contents={[85, wdrwzsvc.exe, wdrwzsvc.exe, 1, 0.0, 0.0, 0.0, 0.07, 0.07, 0.07, 1540, 1540, 1540, 5656, 5656, 5656, 0.0, 0.07, 1540, 5656]=javax.management.openmbean.CompositeDataSupport(compositeType=javax.management.openmbean.CompositeType(name=ProcessMonitor Type,items=((itemName=Alias,itemType=javax.management.openmbean.SimpleType(name=java.lang.String)),(itemName=Avg.PCPU,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Avg.PMEM,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Avg.RSS,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Avg.VSZ,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=INDEX,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Max.PCPU,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Max.PMEM,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Max.RSS,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Max.VSZ,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Min.PCPU,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Min.PMEM,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=Min.RSS,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Min.VSZ,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=Pattern,itemType=javax.management.openmbean.SimpleType(name=java.lang.String)),(itemName=RunningProcessCount,itemType=javax.management.openmbean.SimpleType(name=java.lang.Integer)),(itemName=TotalPCPU,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=TotalPMEM,itemType=javax.management.openmbean.SimpleType(name=java.lang.Float)),(itemName=TotalRSS,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)),(itemName=TotalVSZ,itemType=javax.management.openmbean.SimpleType(name=java.lang.Long)))),contents={Alias=wdrwzsvc.exe, Avg.PCPU=0.0, Avg.PMEM=0.07, Avg.RSS=5656, Avg.VSZ=1540, INDEX=85, Max.PCPU=0.0, Max.PMEM=0.07, Max.RSS=5656, Max.VSZ=1540, Min.PCPU=0.0, Min.PMEM=0.07, Min.RSS=5656, Min.VSZ=1540, Pattern=wdrwzsvc.exe, RunningProcessCount=1, TotalPCPU=0.0, TotalPMEM=0.07, TotalRSS=5656, TotalVSZ=1540})})
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,TotalMemUsed,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,5656
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,TotalMemUtilization,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,0.07
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,TotalCpuUtilization,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,0.0
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,MemUsedMax,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,5656
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,MemUsedAvg,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,5656
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,MemUsedMin,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,5656
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,MemUtilizationMax,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,0.07
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,MemUtilizationAvg,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,0.07
MA_221.141.145.6_20130430180225,wdrwzsvc.exe,MemUtilizationMin,2013-05-09 14:32:42,2013-05-09 14:32:42,실시간,1,-,0.07
